transaction_date,branch_name,region,branch_size,product_category,total_revenue_sar,number_of_transactions,average_basket_sar,payment_method,customer_satisfaction_score
23-05-2024,Hail Central,Hail,Small,Dairy,1890.74,50,37.81,STC Pay,2.9
21-02-2024,Al Olaya,Riyadh,Large,Household,10477.02,,124.73,Cash,4.1
19-06-2024,Madinah North,Madinah,Large,Beverages,7819.86,105,74.47,STC Pay,3.8
28-09-2024,Khamis Mushait,Asir,Small,Frozen Foods,3990.37,50,79.81,Mastercard,3.6
07-06-2024,Al Bahah Central,Al Bahah,Small,Bakery,1768.7,50,35.37,Mastercard,3.9
21-08-2025,Riyadh South,Riyadh,Large,Cleaning Supplies,8313.22,107,77.69,Cash,3.9
23-03-2024,Al Jawf Central,Al Jawf,Small,Electronics,8680.31,55,157.82,Apple Pay,2.8
15-08-2025,Madinah North,Madinah,Large,Personal Care,13040.72,132,98.79,Visa,4.3
19-11-2024,Buraidah Central,Qassim,Medium,Bakery,5506.37,79,69.7,Mada,3.3
13-04-2025,Dhahran,Eastern Province,XLarge,Frozen Foods,24390.89,229,106.51,Mada,4.4
16-03-2024,Al Olaya,Riyadh,Large,Household,25075.21,213,117.72,Mada,4.1
10-06-2024,Al Khobar,Eastern Province,,,8844.69,81,109.19,Tamara,3.9
09-01-2024,Buraidah Central,Qassim,Medium,Household,5604.5,65,86.22,Cash,4.0
30-01-2026,Al Olaya,Riyadh,Large,Dairy,10750.07,140,76.79,Mastercard,3.6
04-12-2025,Al Rawdah,Makkah,Large,Dairy,11204.41,139,80.61,STC Pay,3.9
29-04-2026,Al Wajh,Tabuk,Medium,Electronics,7599.91,64,118.75,Visa,3.7
14-06-2024,Al Anbariyah,Madinah,Large,Household,13978.95,135,103.55,Cash,4.5
12-07-2025,Jeddah North,Makkah,XLarge,Meat & Poultry,21034.44,195,107.87,Mada,4.4
11-11-2024,Riyadh East,Riyadh,Large,Baby Products,10887.46,,88.52,Cash,3.4
28-12-2024,Al Olaya,Riyadh,Large,Cleaning Supplies,16657.52,205,81.26,Visa,4.3
30-08-2024,Jeddah North,Makkah,XLarge,Baby Products,28116.79,301,93.41,STC Pay,4.6
12-03-2026,Qatif,Eastern Province,XLarge,Snacks & Confectionery,20644.22,288,71.68,Apple Pay,4.1
12-06-2024,Dammam Central,Eastern Province,,Fresh Produce,10061.89,128,78.61,Apple Pay,3.9
24-12-2024,Arar Central,Northern Borders,Small,Snacks & Confectionery,,50,40.62,Cash,4.3
12-02-2025,Al Aziziyah,Makkah,Large,Snacks & Confectionery,7210.79,104,69.33,Mada,3.5
05-12-2024,Unaizah,Qassim,Small,Fresh Produce,3320.97,50,66.42,Mada,3.3
09-02-2024,Al Anbariyah,Madinah,Large,Beverages,8309.75,106,78.39,Mada,3.4
13-08-2025,Khamis Mushait,Asir,,Electronics,,50,,Visa,3.3
04-12-2025,Unaizah,Qassim,Small,Frozen Foods,2937.23,50,58.74,Mada,4.1
30-09-2025,Qatif,Eastern Province,XLarge,Snacks & Confectionery,13315.74,176,75.66,Mada,4.3
13-11-2025,Dhahran,Eastern Province,XLarge,Meat & Poultry,22406.42,187,119.82,Cash,3.2
22-09-2025,Jeddah East,Makkah,Large,Meat & Poultry,11595.64,119,97.44,Mada,4.3
16-03-2025,Al Rawdah,Makkah,Large,,24935.42,243,102.61,Mada,3.6
05-11-2025,Jeddah South,Makkah,Large,Household,9201.16,96,95.85,Mada,3.4
19-11-2025,Madinah North,Madinah,Large,Snacks & Confectionery,8720.24,91,95.83,Cash,4.3
11-04-2025,Riyadh West,Riyadh,Large,Personal Care,14957.63,138,108.39,Mastercard,3.7
13-02-2025,Al Bahah Central,Al Bahah,Small,Clothing,2318.35,50,46.37,Apple Pay,3.6
12-08-2024,Al Wajh,Tabuk,Medium,Baby Products,4307.57,50,86.15,Cash,3.6
18-05-2026,Madinah North,Madinah,Large,Fresh Produce,6925.0,75,92.33,,3.5
19-09-2025,Hail Central,Hail,Small,Cleaning Supplies,2866.22,50,57.32,STC Pay,3.5
11-06-2024,Hail Central,Hail,,Beverages,2080.66,50,41.61,Mada,3.2
11-05-2025,Buraidah Central,Qassim,Medium,,6239.86,64,97.5,Mada,3.3
09-12-2024,Dammam Central,Eastern Province,Large,Household,10558.44,90,117.32,Mada,3.6
28-02-2025,Riyadh West,Riyadh,Large,Household,11763.22,113,104.1,,3.2
02-02-2025,Tabuk Central,Tabuk,Medium,Personal Care,8000.63,90,88.9,Apple Pay,3.8
26-12-2024,Riyadh Central,Riyadh,Large,Meat & Poultry,12817.98,134,95.66,Apple Pay,
04-02-2026,Unaizah,Qassim,Small,Snacks & Confectionery,2044.05,50,40.88,Mada,3.5
10-12-2024,Khamis Mushait,Asir,Small,Snacks & Confectionery,2473.77,,49.48,Apple Pay,4.1
29-09-2025,Makkah City,Makkah,Large,Cleaning Supplies,8073.55,107,75.45,Mastercard,4.2
05-07-2024,Arar Central,Northern Borders,Small,Meat & Poultry,2413.43,50,48.27,Mada,3.8
11-10-2024,Khamis Mushait,Asir,Small,Snacks & Confectionery,3072.38,50,61.45,Cash,4.1
17-08-2024,Hafuf,Eastern Province,Medium,Frozen Foods,7500.08,90,83.33,Apple Pay,3.9
23-07-2024,Madinah North,Madinah,Large,Personal Care,10871.55,102,106.58,Mada,4.5
17-12-2025,Arar Central,Northern Borders,Small,Meat & Poultry,2704.88,50,54.1,Tabby,4.2
07-03-2026,Hittin,Riyadh,XLarge,Baby Products,35739.33,287,124.53,Cash,3.8
10-02-2025,Khamis Mushait,Asir,Small,Fresh Produce,2327.7,50,46.55,Apple Pay,4.2
14-04-2024,Madinah North,Madinah,Large,Dairy,15868.39,212,74.85,Apple Pay,3.9
21-12-2024,Riyadh East,Riyadh,Large,Clothing,21725.24,156,139.26,,3.3
19-05-2026,Riyadh Central,Riyadh,Large,Beverages,8133.08,93,87.45,Mada,4.1
21-03-2025,Jeddah North,Makkah,XLarge,Household,29655.46,314,94.44,Visa,3.7
04-03-2026,Unaizah,Qassim,Small,Beverages,2176.11,50,43.52,Mada,4.0
12-10-2024,Al Malaz,Riyadh,Large,Bakery,15316.58,,76.2,Visa,3.2
10-12-2024,Khamis Mushait,Asir,Small,Snacks & Confectionery,1694.61,50,33.89,Mada,3.7
23-07-2025,Dammam Central,Eastern Province,Large,,7663.88,60,127.73,Mastercard,3.5
22-07-2025,Al Bahah Central,Al Bahah,Small,Toys,2393.48,50,47.87,Mada,3.6
18-02-2025,Madinah Central,Madinah,Small,Dairy,1910.06,50,38.2,Mada,3.4
18-12-2024,Buraidah Central,Qassim,Medium,Frozen Foods,5377.51,56,96.03,Mastercard,3.8
08-01-2026,Hittin,Riyadh,XLarge,Fresh Produce,13904.44,156,89.13,Apple Pay,4.3
15-07-2024,Jeddah East,Makkah,Large,Beverages,6739.04,86,78.36,Tabby,3.5
02-05-2026,Al Olaya,Riyadh,Large,Bakery,9614.51,111,86.62,Cash,3.7
09-05-2024,Unaizah,Qassim,Small,Baby Products,2276.5,50,45.53,Mastercard,4.2
15-04-2024,Al Bahah Central,Al Bahah,Small,Personal Care,3178.31,50,63.57,Mada,4.2
22-02-2024,Jeddah East,Makkah,Large,Snacks & Confectionery,7270.46,74,98.25,Cash,3.3
04-06-2024,Riyadh South,Riyadh,Large,Household,7688.22,70,109.83,Tamara,3.8
25-07-2025,Hittin,Riyadh,XLarge,Personal Care,23528.26,276,85.25,Mada,3.6
31-10-2024,Hail Central,Hail,,,3416.1,50,68.32,Visa,3.5
20-02-2026,Al Olaya,Riyadh,Large,Bakery,7827.17,111,70.52,Mada,3.9
22-02-2025,Riyadh Central,Riyadh,Large,Personal Care,13436.32,129,104.16,Mada,3.9
20-12-2025,Al Khobar,Eastern Province,Large,Electronics,28791.97,197,146.15,,3.9
11-03-2025,Al Aziziyah,Makkah,Large,Bakery,9532.49,109,87.45,Mada,3.3
14-03-2024,Jeddah North,Makkah,XLarge,Snacks & Confectionery,18568.47,235,79.01,,4.4
06-12-2025,Arar Central,Northern Borders,Small,Meat & Poultry,4177.16,50,83.54,Visa,3.4
23-03-2024,Hail Central,Hail,Small,Cleaning Supplies,4612.58,64,72.07,Visa,3.9
22-02-2026,Riyadh North,Riyadh,,,11757.43,119,98.8,Apple Pay,3.8
15-06-2025,Najran Central,Najran,Medium,Cleaning Supplies,5835.36,65,89.77,Visa,3.5
26-04-2025,Al Malaz,Riyadh,Large,Meat & Poultry,19571.26,190,103.01,Apple Pay,3.5
25-02-2025,Qatif,Eastern Province,XLarge,Dairy,14338.63,211,67.96,Apple Pay,3.6
15-09-2024,Jubail,Eastern Province,Large,Baby Products,14206.95,130,109.28,Visa,3.7
04-11-2025,Riyadh Central,Riyadh,Large,Beverages,11789.44,113,104.33,Visa,3.5
17-02-2026,Hail Central,Hail,Small,Dairy,1315.16,50,26.3,Mada,3.3
04-05-2024,Al Bahah Central,Al Bahah,Small,Clothing,3012.2,50,60.24,Mastercard,3.6
05-04-2024,Tabuk Central,Tabuk,Medium,Snacks & Confectionery,8600.38,88,,STC Pay,3.9
25-05-2025,Jeddah North,Makkah,XLarge,Dairy,23996.22,324,74.06,Mada,3.6
18-07-2025,Arar Central,Northern Borders,Small,Fresh Produce,2106.4,50,42.13,Mastercard,3.6
12-03-2024,Makkah City,Makkah,Large,Snacks & Confectionery,11560.49,,85.0,STC Pay,3.1
13-01-2026,Al Khobar,Eastern Province,Large,Personal Care,8470.73,106,79.91,Mada,3.8
02-04-2025,Jeddah North,Makkah,XLarge,Meat & Poultry,24858.17,230,108.08,Visa,3.7
15-12-2025,Al Aziziyah,Makkah,Large,Meat & Poultry,11056.08,114,96.98,Mada,3.9
01-02-2026,Jubail,Eastern Province,Large,Cleaning Supplies,10341.28,126,82.07,Tamara,4.0
22-05-2025,Jeddah North,Makkah,XLarge,Fresh Produce,20804.22,274,75.93,Mada,3.4
15-05-2026,Al Olaya,Riyadh,Large,Household,12646.01,124,101.98,Mastercard,3.3
17-03-2024,Jeddah North,Makkah,XLarge,Baby Products,40294.14,358,112.55,Mastercard,4.3
22-05-2026,Al Malaz,Riyadh,Large,Clothing,13642.09,120,113.68,Tabby,3.2
08-07-2025,Al Bahah Central,Al Bahah,Small,Electronics,2160.38,50,43.21,STC Pay,3.0
03-02-2026,Madinah Central,Madinah,Small,Baby Products,1773.43,50,35.47,Mastercard,3.8
30-01-2024,Dhahran,Eastern Province,XLarge,Snacks & Confectionery,10629.61,118,90.08,Mada,4.1
07-09-2024,Jeddah North,Makkah,XLarge,Household,28137.82,314,89.61,Mada,4.7
24-05-2025,Madinah North,Madinah,Large,Fresh Produce,16860.5,184,91.63,Mada,4.2
13-11-2025,Al Anbariyah,Madinah,Large,Snacks & Confectionery,7549.55,106,71.22,Mastercard,4.0
24-08-2025,Hafuf,Eastern Province,Medium,Baby Products,6841.86,70,97.74,Mada,4.2
22-07-2024,Dhahran,Eastern Province,XLarge,Snacks & Confectionery,16667.82,171,97.47,Mada,3.8
23-01-2024,Al Khobar,Eastern Province,Large,Clothing,,114,126.71,Visa,4.1
12-09-2025,Riyadh South,Riyadh,Large,Snacks & Confectionery,12760.22,180,70.89,Apple Pay,3.9
13-10-2025,Madinah Central,Madinah,Small,Bakery,1525.41,50,30.51,Apple Pay,
05-10-2025,Makkah City,Makkah,Large,Personal Care,11687.54,100,116.88,Apple Pay,4.2
02-04-2024,Makkah City,Makkah,Large,Dairy,17868.22,215,83.11,Mada,3.9
09-01-2025,Unaizah,Qassim,Small,Cleaning Supplies,1955.98,50,39.12,Mada,3.8
03-02-2026,Al Khobar,Eastern Province,Large,Snacks & Confectionery,9309.75,112,83.12,Cash,3.4
30-05-2026,Madinah Central,Madinah,,Clothing,4412.74,50,88.25,Apple Pay,3.4
15-01-2024,Bisha,Asir,Medium,Fresh Produce,3904.62,50,78.09,Mastercard,3.7
21-08-2025,Al Anbariyah,Madinah,Large,Clothing,,95,122.3,Mastercard,
16-09-2025,Jubail,Eastern Province,Large,Electronics,11634.98,101,115.2,STC Pay,3.9
26-10-2025,Dhahran,Eastern Province,XLarge,Fresh Produce,23024.04,301,76.49,Mada,3.8
18-05-2024,Unaizah,Qassim,Small,Meat & Poultry,3625.65,50,72.51,Mastercard,3.6
05-03-2025,Unaizah,Qassim,Small,Frozen Foods,3450.37,50,69.01,Mastercard,3.9
03-02-2024,Dammam Central,Eastern Province,Large,Bakery,12009.64,156,76.98,Mada,3.3
11-04-2024,Abha Central,Asir,Small,Meat & Poultry,4312.12,50,86.24,Visa,3.9
18-05-2026,Hittin,Riyadh,XLarge,Fresh Produce,17490.04,171,102.28,Visa,4.1
21-02-2024,Riyadh North,Riyadh,Large,Bakery,8382.65,95,88.24,Visa,
23-08-2025,Al Rawdah,Makkah,Large,Snacks & Confectionery,10659.2,121,88.09,Cash,4.1
10-10-2024,Riyadh Central,Riyadh,Large,Fresh Produce,12800.21,121,105.79,Mada,4.1
14-05-2024,Riyadh North,Riyadh,Large,Frozen Foods,6507.35,66,98.6,Mada,4.3
28-09-2024,Jeddah East,Makkah,Large,Frozen Foods,10794.44,123,87.76,Mastercard,3.1
30-08-2025,Al Jawf Central,Al Jawf,Small,Household,2770.13,50,55.4,Cash,3.7
04-11-2024,Buraidah Central,Qassim,Medium,Baby Products,5901.83,50,118.04,Mada,3.3
30-12-2025,Al Bahah Central,Al Bahah,Small,Electronics,4386.51,50,87.73,Visa,4.0
09-05-2024,Riyadh West,Riyadh,Large,Clothing,10912.93,96,,Mada,4.3
01-06-2025,Arar Central,Northern Borders,Small,Fresh Produce,2924.06,50,58.48,Apple Pay,3.6
16-03-2025,Al Rawdah,Makkah,Large,Bakery,16624.95,207,80.31,Mada,3.6
16-11-2024,Al Wajh,Tabuk,Medium,Meat & Poultry,10936.05,85,128.66,STC Pay,3.9
03-04-2024,Riyadh West,Riyadh,Large,Fresh Produce,19854.5,185,107.32,Mastercard,4.0
17-11-2025,Qatif,Eastern Province,XLarge,Meat & Poultry,16810.36,162,103.77,Apple Pay,3.5
21-10-2024,Riyadh South,Riyadh,Large,Meat & Poultry,12372.63,115,107.59,Mada,3.6
24-12-2024,Al Olaya,Riyadh,Large,Meat & Poultry,15779.03,158,99.87,Visa,3.6
15-05-2026,Al Wajh,Tabuk,Medium,Frozen Foods,6106.03,,84.81,Mastercard,3.3
30-01-2024,Dammam Central,Eastern Province,Large,Toys,7868.67,76,103.54,Mada,3.6
04-07-2024,Riyadh Central,Riyadh,Large,Household,12525.84,120,104.38,Cash,3.7
08-08-2024,Buraidah Central,Qassim,,Beverages,,50,88.09,Mada,3.7
06-03-2026,Jubail,Eastern Province,Large,Personal Care,16966.78,205,82.76,Mada,3.8
05-10-2024,Al Malaz,Riyadh,,Beverages,13968.49,171,81.69,Mada,3.7
12-02-2026,Al Rawdah,Makkah,Large,Meat & Poultry,11321.32,86,,Mastercard,3.4
16-02-2024,Dhahran,Eastern Province,XLarge,Baby Products,18937.38,148,127.96,Mada,3.7
24-02-2026,Al Rawdah,Makkah,Large,Bakery,5720.57,71,80.57,Cash,3.8
29-06-2025,Khamis Mushait,Asir,Small,Household,3411.06,,68.22,Apple Pay,3.4
10-02-2025,Riyadh West,Riyadh,Large,Electronics,14201.12,88,161.38,STC Pay,4.1
27-12-2025,Bisha,Asir,Medium,Dairy,8212.68,,83.8,Tabby,3.4
31-03-2026,Jeddah South,Makkah,Large,Beverages,11647.89,147,79.24,Mada,3.6
26-08-2025,Al Wajh,Tabuk,,Electronics,6326.79,55,115.03,Mastercard,3.9
07-12-2024,Madinah Central,Madinah,Small,Electronics,6342.77,51,124.37,Visa,3.8
14-01-2026,Hafuf,Eastern Province,Medium,Clothing,7533.8,56,134.53,Cash,4.4
21-07-2024,Al Anbariyah,Madinah,Large,Fresh Produce,,125,81.67,Cash,4.3
11-02-2026,Arar Central,Northern Borders,Small,Personal Care,2175.23,50,43.5,STC Pay,3.4
04-10-2025,Jubail,Eastern Province,Large,Beverages,12986.81,,86.58,Visa,4.0
03-06-2025,Hafuf,Eastern Province,Medium,Beverages,3194.22,50,63.88,Mada,3.3
19-03-2024,Al Khobar,Eastern Province,Large,Baby Products,18128.75,144,125.89,Visa,3.4
05-04-2025,Riyadh East,Riyadh,Large,Personal Care,22443.35,206,108.95,Visa,4.1
03-06-2024,Al Jawf Central,Al Jawf,Small,Beverages,2213.88,50,44.28,Apple Pay,3.8
10-02-2024,Jeddah East,Makkah,Large,Beverages,10678.31,122,87.53,Visa,3.8
07-01-2025,Jeddah South,Makkah,Large,,7452.08,89,83.73,Mada,3.2
08-03-2024,Qatif,Eastern Province,XLarge,Household,22491.62,214,105.1,,3.6
07-12-2024,Jeddah North,Makkah,XLarge,Clothing,28381.25,287,98.89,Mada,3.7
01-09-2025,Makkah City,Makkah,Large,Fresh Produce,10173.24,115,88.46,Visa,3.3
12-04-2026,Qatif,Eastern Province,XLarge,Toys,23378.17,290,80.61,Tamara,4.2
04-06-2025,Al Wajh,Tabuk,Medium,Meat & Poultry,5073.38,50,101.47,Mada,3.7
15-07-2024,Al Bahah Central,Al Bahah,Small,Fresh Produce,1641.45,50,32.83,Apple Pay,4.2
08-02-2024,Buraidah Central,Qassim,Medium,Cleaning Supplies,4457.8,59,75.56,Visa,4.2
15-06-2024,Jeddah North,Makkah,XLarge,Toys,19609.91,,90.79,STC Pay,4.0
23-11-2025,Abha Central,Asir,Small,,4411.22,50,88.22,Apple Pay,3.5
27-08-2024,Hail Central,Hail,Small,Dairy,1861.42,50,37.23,Mada,3.8
17-04-2025,Hail Central,Hail,Small,Frozen Foods,3138.52,50,62.77,Mada,3.3
16-04-2026,Jeddah South,Makkah,Large,Personal Care,10864.0,131,82.93,Cash,3.4
29-12-2025,Al Olaya,Riyadh,Large,Snacks & Confectionery,11364.22,,90.19,Apple Pay,3.8
05-04-2025,Dammam Central,Eastern Province,Large,Fresh Produce,21227.09,229,92.69,STC Pay,3.9
28-01-2024,Hafuf,Eastern Province,Medium,Meat & Poultry,7666.59,66,116.16,Mada,4.2
18-01-2025,Al Malaz,Riyadh,Large,Dairy,10455.75,109,,Mastercard,3.7
20-10-2024,Riyadh East,Riyadh,Large,Beverages,16328.99,217,,Apple Pay,4.0
04-04-2025,Najran Central,Najran,Medium,Cleaning Supplies,7029.59,72,97.63,Mada,4.4
09-03-2025,Buraidah Central,Qassim,Medium,Dairy,7409.88,85,87.18,Cash,4.6
16-10-2025,Tabuk Central,Tabuk,Medium,Beverages,6036.76,59,102.32,STC Pay,3.7
11-08-2025,Al Jawf Central,Al Jawf,Small,Fresh Produce,1711.38,50,34.23,Visa,3.6
07-08-2025,Madinah North,Madinah,Large,Clothing,11855.62,86,137.86,,4.2
16-03-2026,Al Jawf Central,Al Jawf,Small,Household,3078.73,50,61.57,Mada,3.8
17-01-2025,Khamis Mushait,Asir,Small,Electronics,3368.86,50,67.38,Mada,3.5
16-05-2024,Qatif,Eastern Province,XLarge,Household,13977.64,157,89.03,Mada,3.4
13-12-2025,Arar Central,Northern Borders,Small,Fresh Produce,3775.15,50,75.5,Mastercard,3.7
14-02-2024,Al Aziziyah,Makkah,,Cleaning Supplies,8735.45,103,84.81,Mada,3.8
14-04-2026,Bisha,Asir,Medium,Bakery,4983.27,73,68.26,Mada,
06-10-2024,Qatif,Eastern Province,XLarge,Meat & Poultry,23633.07,248,95.29,Mastercard,4.5
13-12-2024,Khamis Mushait,Asir,Small,Beverages,3853.64,50,,STC Pay,2.9
21-03-2024,Al Wajh,Tabuk,Medium,Baby Products,8992.19,74,121.52,Mada,3.7
22-03-2024,Al Olaya,Riyadh,Large,Dairy,15203.41,185,82.18,Mastercard,4.0
13-02-2024,Hail Central,Hail,Small,,1894.05,50,37.88,Mada,4.0
17-03-2024,Riyadh South,Riyadh,Large,Meat & Poultry,27333.52,,109.77,Mastercard,3.9
05-02-2024,Hail Central,Hail,Small,Bakery,,50,25.07,Mada,3.7
11-09-2025,Riyadh East,Riyadh,Large,Beverages,7860.66,87,90.35,Mada,4.0
11-02-2025,Abha Central,Asir,Small,Dairy,1559.35,50,,Cash,3.7
26-05-2025,Jeddah East,Makkah,,Cleaning Supplies,7603.67,82,92.73,Apple Pay,3.7
11-12-2025,Al Khobar,Eastern Province,Large,Beverages,,135,100.64,Apple Pay,3.5
25-06-2024,Hail Central,Hail,Small,Beverages,2233.72,50,44.67,Mastercard,3.8
27-12-2025,Hafuf,Eastern Province,Medium,Household,7318.95,84,87.13,Apple Pay,3.5
23-03-2026,Jeddah East,Makkah,Large,Bakery,7409.7,117,63.33,Apple Pay,3.8
21-07-2025,Abha Central,Asir,Small,Beverages,1887.31,50,37.75,Cash,4.1
08-03-2024,Al Malaz,Riyadh,Large,Baby Products,13610.15,140,97.22,Visa,3.9
08-05-2024,Riyadh West,Riyadh,Large,Clothing,14738.36,125,117.91,Mastercard,3.1
11-05-2024,Hafuf,Eastern Province,Medium,Frozen Foods,8348.56,100,83.49,Mada,4.2
01-05-2026,Riyadh South,Riyadh,Large,Fresh Produce,9386.79,90,104.3,Mada,3.7
20-12-2024,Madinah Central,Madinah,Small,Household,4482.8,50,89.66,Cash,3.9
08-05-2024,Dammam Central,Eastern Province,Large,Personal Care,10364.76,91,113.9,Visa,4.7
24-06-2024,Jeddah North,Makkah,XLarge,Frozen Foods,14976.05,177,84.61,Apple Pay,3.3
24-03-2024,Riyadh North,Riyadh,Large,Clothing,19788.64,177,111.8,Mastercard,3.5
24-09-2025,Tabuk Central,Tabuk,Medium,Beverages,5055.63,62,81.54,Mada,4.2
31-10-2024,Bisha,Asir,Medium,Toys,5682.62,51,111.42,Mada,3.7
27-07-2024,Arar Central,Northern Borders,Small,Fresh Produce,2793.33,50,55.87,Mada,4.0
13-05-2024,Bisha,Asir,Medium,Household,5660.73,,113.21,Mada,3.8
30-09-2024,Hittin,Riyadh,XLarge,Fresh Produce,15258.35,139,109.77,STC Pay,4.3
13-04-2026,Jeddah South,Makkah,Large,Personal Care,10514.66,102,103.08,Apple Pay,3.5
11-06-2025,Al Bahah Central,Al Bahah,Small,Cleaning Supplies,1696.17,50,33.92,Cash,3.3
08-08-2024,Madinah North,Madinah,Large,Electronics,14657.56,102,143.7,Visa,4.1
19-10-2024,Najran Central,Najran,Medium,Snacks & Confectionery,7289.19,86,84.76,STC Pay,3.7
16-02-2024,Abha Central,Asir,Small,Personal Care,2544.18,50,50.88,Visa,2.9
30-01-2025,Riyadh West,Riyadh,Large,Frozen Foods,9519.0,98,97.13,Tamara,3.7
07-02-2025,Al Olaya,Riyadh,Large,Baby Products,12111.49,118,102.64,Mada,3.6
22-07-2024,Jeddah North,Makkah,XLarge,Meat & Poultry,18603.62,138,134.81,Cash,3.8
12-04-2025,Buraidah Central,Qassim,Medium,Cleaning Supplies,6307.26,,91.41,STC Pay,3.1
15-06-2024,Jubail,Eastern Province,Large,Personal Care,13010.08,155,83.94,Visa,3.3
26-12-2025,Al Bahah Central,Al Bahah,,Beverages,3176.35,50,63.53,Mada,3.6
02-03-2025,Hittin,Riyadh,XLarge,Snacks & Confectionery,33428.38,444,75.29,Mastercard,4.4
08-01-2026,Madinah Central,Madinah,Small,Beverages,1592.03,50,31.84,Mastercard,3.7
31-05-2024,Khamis Mushait,Asir,Small,Bakery,2626.18,50,52.52,Mastercard,3.8
04-06-2024,Tabuk Central,Tabuk,Medium,Bakery,3482.48,50,69.65,Visa,
18-05-2026,Najran Central,Najran,Medium,Electronics,7272.94,50,145.46,Mada,3.5
20-01-2025,Buraidah Central,Qassim,Medium,Fresh Produce,4022.84,52,77.36,Mada,4.3
23-11-2025,Hafuf,Eastern Province,Medium,Frozen Foods,8527.56,102,83.6,Mastercard,3.6
12-10-2024,Madinah North,Madinah,Large,Bakery,13109.45,207,63.33,Mada,3.6
22-12-2025,Al Khobar,Eastern Province,Large,Toys,9360.57,91,102.86,Mada,4.5
21-10-2024,Dammam Central,Eastern Province,Large,Clothing,9783.43,80,122.29,Tamara,3.5
02-03-2026,Hafuf,Eastern Province,Medium,,5108.84,58,88.08,Mastercard,3.6
04-02-2026,Al Anbariyah,Madinah,Large,Bakery,7183.14,97,74.05,STC Pay,4.2
20-05-2024,Dammam Central,Eastern Province,Large,Frozen Foods,6715.79,68,98.76,Cash,4.0
23-02-2024,Madinah Central,Madinah,Small,Meat & Poultry,2444.31,50,48.89,Mastercard,3.4
06-01-2024,Makkah City,Makkah,Large,Baby Products,20117.22,165,121.92,Mastercard,4.1
13-02-2026,Al Aziziyah,Makkah,Large,Dairy,12366.28,163,75.87,STC Pay,3.5
29-10-2025,Al Malaz,Riyadh,Large,Household,11750.15,127,92.52,STC Pay,4.0
07-02-2024,Jeddah East,Makkah,Large,Meat & Poultry,13497.33,122,110.63,STC Pay,3.7
08-02-2024,Al Khobar,Eastern Province,Large,Household,7532.09,63,119.56,Tamara,3.5
20-06-2025,Unaizah,Qassim,Small,Baby Products,2960.75,50,59.22,Mada,4.8
08-04-2026,Al Aziziyah,Makkah,Large,Fresh Produce,9207.58,100,92.08,Mada,4.1
04-08-2025,Al Khobar,Eastern Province,Large,Fresh Produce,9504.01,110,86.4,Visa,4.4
26-04-2026,Bisha,Asir,Medium,Dairy,7093.7,85,83.46,Cash,4.3
07-01-2024,Madinah North,Madinah,Large,Bakery,9283.32,136,68.26,Tabby,3.7
19-08-2025,Dhahran,Eastern Province,XLarge,Electronics,24943.92,203,,Mastercard,4.2
12-06-2024,Dhahran,Eastern Province,XLarge,Household,15762.26,,86.61,Mastercard,4.1
07-12-2025,Dhahran,Eastern Province,XLarge,Cleaning Supplies,18266.93,214,85.36,Visa,4.0
10-04-2025,Jeddah North,Makkah,XLarge,Personal Care,25152.77,255,98.64,Visa,4.2
14-02-2026,Najran Central,Najran,Medium,Clothing,8766.08,67,130.84,Mada,3.8
